cat,z,ablation_mm,Qm,Sin
1,2635.0,44.02,170.17,271.15
2,2621.0,43.96,169.95,270.77
3,2620.0,43.96,169.94,270.74
4,2591.0,43.85,169.52,269.97
5,2588.0,43.84,169.47,269.89
6,2588.0,43.84,169.47,269.89
7,2602.0,43.89,169.67,270.26
8,2620.0,43.96,169.94,270.74
9,2626.0,43.98,170.03,270.91
10,2551.0,43.71,168.97,268.9
11,2554.0,43.72,169.01,268.98
12,2496.0,43.53,168.28,267.43
13,2474.0,43.47,168.03,266.84
14,2485.0,43.5,168.15,267.13
15,2506.0,43.56,168.4,267.69
16,2506.0,43.56,168.4,267.69
17,2531.0,43.64,168.71,268.36
18,2576.0,43.8,169.3,269.57
19,2645.0,44.06,170.32,271.41
20,2597.0,43.87,169.6,270.13
21,2554.0,43.72,169.01,268.98
22,2496.0,43.53,168.28,267.43
23,2474.0,43.47,168.03,266.84
24,2485.0,43.5,168.15,267.13
25,2506.0,43.56,168.4,267.69
26,2506.0,43.56,168.4,267.69
27,2531.0,43.64,168.71,268.36
28,2576.0,43.8,169.3,269.57
29,2655.0,44.1,170.48,271.68
30,2636.0,44.02,170.18,271.17
31,2361.0,54.94,212.38,263.82
32,2372.0,54.97,212.52,264.11
33,2397.0,55.06,212.84,264.78
34,2445.0,43.38,167.71,266.06
35,2455.0,43.41,167.82,266.33
36,2469.0,43.45,167.97,266.7
37,2494.0,43.52,168.25,267.37
38,2533.0,43.65,168.73,268.42
39,2639.0,44.04,170.23,271.25
40,2666.0,44.15,170.65,271.98
41,2350.0,54.91,212.25,263.52
42,2358.0,54.93,212.35,263.74
43,2415.0,43.31,167.42,265.26
44,2469.0,43.45,167.97,266.7
45,2484.0,43.49,168.14,267.11
46,2509.0,43.57,168.43,267.77
47,2523.0,43.62,168.61,268.15
48,2532.0,43.64,168.72,268.39
49,2610.0,43.92,169.79,270.48
50,2650.0,44.08,170.4,271.55
51,2357.0,54.93,212.33,263.71
52,2372.0,54.97,212.52,264.11
53,2442.0,43.38,167.68,265.98
54,2529.0,43.63,168.68,268.31
55,2556.0,43.73,169.03,269.03
56,2532.0,43.64,168.72,268.39
57,2536.0,43.66,168.77,268.5
58,2534.0,43.65,168.74,268.44
59,2579.0,43.81,169.35,269.65
60,2612.0,43.93,169.82,270.53
61,2373.0,54.98,212.53,264.14
62,2397.0,55.06,212.84,264.78
63,2511.0,43.58,168.46,267.83
64,2479.0,43.48,168.08,266.97
65,2475.0,43.47,168.04,266.87
66,2506.0,43.56,168.4,267.69
67,2525.0,43.62,168.63,268.2
68,2515.0,43.59,168.51,267.94
69,2546.0,43.69,168.9,268.76
70,2610.0,43.92,169.79,270.48
71,2411.0,43.3,167.38,265.15
72,2437.0,43.36,167.63,265.85
73,2523.0,43.62,168.61,268.15
74,2427.0,43.34,167.53,265.58
75,2439.0,43.37,167.65,265.9
76,2476.0,43.47,168.05,266.89
77,2505.0,43.56,168.38,267.67
78,2487.0,43.5,168.17,267.19
79,2530.0,43.64,168.69,268.34
80,2583.0,43.82,169.4,269.75
81,2476.0,43.47,168.05,266.89
82,2507.0,43.56,168.41,267.72
83,2506.0,43.56,168.4,267.69
84,2388.0,55.03,212.72,264.54
85,2398.0,55.06,212.86,264.81
86,2429.0,43.34,167.55,265.63
87,2457.0,43.42,167.84,266.38
88,2464.0,43.44,167.92,266.57
89,2494.0,43.52,168.25,267.37
90,2546.0,43.69,168.9,268.76
91,2617.0,43.95,169.89,270.66
92,2549.0,43.7,168.94,268.85
93,2417.0,43.31,167.44,265.31
94,2343.0,54.88,212.17,263.33
95,2360.0,54.94,212.37,263.79
96,2396.0,55.06,212.83,264.75
97,2438.0,43.37,167.64,265.88
98,2446.0,43.39,167.72,266.09
99,2462.0,43.43,167.89,266.52
100,2509.0,43.57,168.43,267.77
